Record,Date,UTC Time,
     50451,12/04/2021, 8:56:12,   1.760000E+02
     50452,12/04/2021, 8:56:22,   1.810000E+02
     50453,12/04/2021, 8:56:32,   1.860000E+02
     50454,12/04/2021, 8:56:42,   1.910000E+02
     50455,12/04/2021, 8:56:52,   1.960000E+02
     50456,12/04/2021, 8:57:02,   0.000000E+00
     50457,12/04/2021, 8:57:12,   5.000000E+00
     50458,12/04/2021, 8:57:22,   1.000000E+01
     50459,12/04/2021, 8:57:32,   1.500000E+01
     50460,12/04/2021, 8:57:42,   2.000000E+01
     50461,12/04/2021, 8:57:52,   2.500000E+01
     50462,12/04/2021, 8:58:02,   3.000000E+01
     50463,12/04/2021, 8:58:12,   3.500000E+01
     50464,12/04/2021, 8:58:22,   4.000000E+01
     50465,12/04/2021, 8:58:32,   4.500000E+01
     50466,12/04/2021, 8:58:42,   5.000000E+01
     50467,12/04/2021, 8:58:52,   5.500000E+01
     50468,12/04/2021, 8:59:02,   6.000000E+01
     50469,12/04/2021, 8:59:12,   6.500000E+01
     50470,12/04/2021, 8:59:22,   7.000000E+01
     50471,12/04/2021, 8:59:32,   7.500000E+01
     50472,12/04/2021, 8:59:42,   8.000000E+01
     50473,12/04/2021, 8:59:52,   8.500000E+01
     50474,12/04/2021, 9:00:02,   9.000000E+01
     50475,12/04/2021, 9:00:12,   9.500000E+01
     50476,12/04/2021, 9:00:22,   1.000000E+02
     50477,12/04/2021, 9:00:32,   1.050000E+02
     50478,12/04/2021, 9:00:42,   1.100000E+02
     50479,12/04/2021, 9:00:52,   1.150000E+02
     50480,12/04/2021, 9:01:02,   1.200000E+02
     50481,12/04/2021, 9:01:12,   1.250000E+02
     50482,12/04/2021, 9:01:22,   1.300000E+02
     50483,12/04/2021, 9:01:32,   1.350000E+02
     50484,12/04/2021, 9:01:42,   1.400000E+02
     50485,12/04/2021, 9:01:52,   1.450000E+02
     50486,12/04/2021, 9:02:02,   1.500000E+02
     50487,12/04/2021, 9:02:12,   1.550000E+02
     50488,12/04/2021, 9:02:22,   1.600000E+02
     50489,12/04/2021, 9:02:32,   1.650000E+02
     50490,12/04/2021, 9:02:42,   1.700000E+02
     50491,12/04/2021, 9:02:52,   1.750000E+02
     50492,12/04/2021, 9:03:02,   1.800000E+02
     50493,12/04/2021, 9:03:12,   1.850000E+02
     50494,12/04/2021, 9:03:22,   1.900000E+02
     50495,12/04/2021, 9:03:32,   1.950000E+02
     50496,12/04/2021, 9:03:42,   2.000000E+02
     50497,12/04/2021, 9:03:52,   4.000000E+00
     50498,12/04/2021, 9:04:02,   9.000000E+00
     50499,12/04/2021, 9:04:12,   1.400000E+01
     50500,12/04/2021, 9:04:22,   1.900000E+01
     50501,12/04/2021, 9:04:32,   2.400000E+01
     50502,12/04/2021, 9:04:42,   2.900000E+01
     50503,12/04/2021, 9:04:52,   3.400000E+01
     50504,12/04/2021, 9:05:02,   3.900000E+01
     50505,12/04/2021, 9:05:12,   4.400000E+01
     50506,12/04/2021, 9:05:22,   4.900000E+01
     50507,12/04/2021, 9:05:32,   5.400000E+01
     50508,12/04/2021, 9:05:42,   5.900000E+01
     50509,12/04/2021, 9:05:52,   6.400000E+01
